foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
臺中和平分局,武陵國民賓館,,,臺中巿和平區平等里武陵路3-1號,"24.346257 ","121.308201 ",,151.0,,
臺中和平分局,好望角大飯店,,,臺中市和平區梨山里民族街52號,"24.253958 ","121.255188 ",,164.0,,
臺中和平分局,福忠彩虹度假旅館,,,臺中市和平區梨山里中正路61號,"24.254628 ","121.255808 ",,151.0,,
臺中和平分局,新瑞士旅店,,,臺中市和平區梨山里中正路11號,"24.256813 ","121.259179 ",,100.0,,
臺中和平分局,飛燕城堡度假飯店,,,臺中市和平區梨山里民族街46號,"24.253855 ","121.255509 ",,77.0,,
臺中和平分局,東關溫泉大旅社,,,臺中市和平區博愛里東關路1段溫泉巷18號,"24.203986 ","121.009767 ",,47.0,,
臺中和平分局,谷關溫泉飯店,,,臺中市和平區博愛里東關路1段溫泉巷6號,"24.203437 ","121.008432 ",,75.0,,
臺中和平分局,明治大飯店,,,臺中市和平區博愛里東關路1段溫泉巷17號,"24.203913 ","121.009929 ",,188.0,,
臺中東勢分局,東勢區區公所,,,臺中市東勢區北興里豐勢路518號,"24.258497 ","120.827875 ",,83.0,,
臺中東勢分局,石岡區區公所,,,臺中市石岡區九房里豐勢路1033號,"24.274773 ","120.780341 ",,1106.0,,
臺中東勢分局,彰化銀行,,,臺中市東勢區東安里豐勢路456號,"24.256207 ","120.828832 ",,21.0,,
臺中東勢分局,新盛國小,,,臺中市東勢區新盛里新盛路342號,"24.243382 ","120.831320 ",,720.0,,
臺中東勢分局,東勢國中,,,臺中市東勢區泰昌里東崎路五段415號,"24.250698 ","120.832336 ",,2567.0,,
臺中東勢分局,東勢地政事務所,,,臺中市東勢區東新里東蘭路26號,"24.262836 ","120.826894 ",,284.0,,
臺中東勢分局,地方稅務局東勢分局,,,臺中市東勢區東新里東蘭路25之2號,"24.262536 ","120.826792 ",,357.0,,
臺中東勢分局,內政部營建署,,,臺中市東勢區南平里東關路七段366號,"24.253827 ","120.826283 ",,1463.0,,
臺中東勢分局,中和國民小學,,,臺中市新社區中和里中興街129號,"24.156974 ","120.828446 ",,599.0,,
臺中東勢分局,新社區農會,,,臺中市新社區新社里中和街四段226號,"24.243921 ","120.807914 ",,113.0,,
臺中東勢分局,崑山國小,,,臺中市新社區崑山里崑南街崑崙巷5之2號,"24.241703 ","120.787633 ",,563.0,,
臺中東勢分局,新社高中,,,臺中市新社區復盛里中和街三段國中巷10號,"24.236675 ","120.807250 ",,462.0,,
臺中東勢分局,石城國小,,,臺中市東勢區茂興里石城街182巷26號,"24.285792 ","120.792418 ",,774.0,,
臺中東勢分局,德水園身心障礙教養院,,,臺中市東勢區茂興里東蘭路212之1號,"24.300387 ","120.809208 ",,234.0,,
臺中東勢分局,行政院農業委員會種苗改良繁殖場,,,臺中市新社區大南里興中街46號,"24.228128 ","120.805235 ",,206.0,,
臺中東勢分局,東勢林管處(新場),,,臺中市東勢區東關路六段1368號,"24.246514 ","120.832924 ",,50.0,,
臺中東勢分局,種苗繁殖場(新場),,,臺中市新社區興中街46號1樓,"24.228128 ","120.805235 ",,195.0,,
臺中東勢分局,大樓,,,臺中市東勢區北興里豐勢路631號,"24.261104 ","120.824544 ",,133.0,,
臺中東勢分局,大樓,,,臺中市東勢區新盛里新盛街140號,"24.247212 ","120.830083 ",,651.0,,
臺中東勢分局,大樓,,,臺中市東勢區新盛里東關路627號,"24.233485 ","120.835806 ",,782.0,,
臺中東勢分局,大樓,,,臺中市東勢區東安里豐勢路411號,"24.256212 ","120.828664 ",,1771.0,,
臺中東勢分局,公寓,,,臺中市東勢區新盛里東關路六段687號,"24.235347 ","120.835241 ",,211.0,,
臺中東勢分局,公寓,,,臺中市東勢區新盛里東關路六段1288號,"24.240711 ","120.834473 ",,133.0,,
臺中東勢分局,公寓,,,臺中市東勢區東安里豐勢路449號,"24.257026 ","120.828244 ",,16.0,,
臺中東勢分局,公寓(東聖宮),,,臺中市東勢區延平里第一橫街130號,"24.251809 ","120.828945 ",,200.0,,
臺中東勢分局,公寓,,,臺中市東勢區泰昌里東崎街425號,"24.250809 ","120.833794 ",,42.0,,
臺中東勢分局,公寓,,,臺中市東勢區東安里第五橫街36號,"24.257460 ","120.829247 ",,31.0,,
臺中東勢分局,公寓,,,臺中市東勢區中寧里豐勢路459號,"24.257358 ","120.828165 ",,138.0,,
臺中東勢分局,禎誠有限公司,,,臺中市東勢區新盛里豐勢路2-1號,"24.246838 ","120.832776 ",,458.0,,
臺中東勢分局,公寓,,,臺中市新社區中正里中和街五段72號,"24.252248 ","120.808065 ",,133.0,,
臺中東勢分局,公寓,,,臺中市新社區中正里中和街五段169號,"24.253868 ","120.807906 ",,35.0,,
臺中東勢分局,公寓,,,臺中市新社區中正里中和街五段76-2號,"24.252981 ","120.807355 ",,470.0,,
臺中東勢分局,東勢名流藝術世家都市更新會,,,臺中市東勢區名流街25號,"24.251540 ","120.833960 ",,681.0,,
臺中東勢分局,東勢區一品社區更新會,,,臺中市東勢區第一橫街132號,"24.251750 ","120.829100 ",,375.0,,
臺中東勢分局,住宅大樓,,,臺中市東勢區正五街12號,24.25811,120.82568,,586.0,,
臺中東勢分局,金家園大旅社,,,臺中市東勢區第二橫街7號,24.25451,120.83014,,319.0,,
臺中東勢分局,東勢中華郵局,,,臺中市東勢區第四橫街1號,24.25663,120.83047,,358.0,,
臺中東勢分局,東勢區農會醫院,,,臺中市東勢區豐勢路297號,24.25343,120.82914,,3432.0,,
臺中東勢分局,土牛國小,,,臺中市石岡區豐勢路308號,24.26612,120.80764,,447.0,,
臺中東勢分局,東新國中,,,臺中市東勢區東環街123號,24.26291,120.82971,,342.0,,
臺中東勢分局,住宅大樓(文新帝國),,,臺中市東勢區廣興里12鄰文新街1號,"24.259282 ","120.829436 ",,899.0,,
臺中東勢分局,台灣菸酒股份有限公司,,,臺中市東勢區南平里東關路七段348號,"24.252972 ","120.826630 ",,235.0,,
臺中東勢分局,住宅大樓,,,臺中市東勢區粵寧里新豐街32號,"24.262816 ","120.824957 ",,673.0,,
臺中大甲分局,大甲幼獅工業區服務中心,,日南里,臺中市大甲區日南里幼獅路36號,"24.404655 ","120.651647 ",,320.0,,
臺中大甲分局,日南變電所,,日南里,臺中市大甲區日南里幼五路5號,"24.404014 ","120.652022 ",,82.0,,
臺中大甲分局,電信總局機房,,日南里,臺中市大甲區日南里幼五路16號,"24.404360 ","120.652257 ",,285.0,,
臺中大甲分局,污水處理廠,,日南里,臺中市大甲區日南里工五路1號,"24.411966 ","120.645977 ",,112.0,,
臺中大甲分局,龍泉里民活動中心,,龍泉里,臺中市大甲區龍泉里渭水路22之1號,"24.401278 ","120.640382 ",,68.0,,
臺中大甲分局,大甲幼獅郵局,,日南里,臺中市大甲區日南里幼獅路45號,"24.405180 ","120.652079 ",,84.0,,
臺中大甲分局,華隆國小,,日南里,臺中市大甲區日南里工二路4之1號,"24.405549 ","120.648252 ",,501.0,,
臺中大甲分局,舊后里國中,,墩東里,臺中市后里區墩東里文明路77號,"24.306640 ","120.718270 ",,224.0,,
臺中大甲分局,內埔國小,,墩東里,臺中市后里區墩東里文化路30號,"24.307541 ","120.714515 ",,725.0,,
臺中大甲分局,啟明學校,,廣福里,臺中市后里區廣福里三豐路三段936號,"24.305893 ","120.723265 ",,757.0,,
臺中大甲分局,后綜中學,,廣福里,臺中市后里區廣福里三豐路三段968號,"24.306225 ","120.722620 ",,1131.0,,
臺中大甲分局,后里區公所零售市場,,墩北里,臺中市后里區墩北里四村路121號,"24.305979 ","120.713220 ",,1542.0,,
臺中大甲分局,后里區公所,,墩西里,臺中市后里區墩西里公安路84號,"24.305076 ","120.710781 ",,97.0,,
臺中大甲分局,后里區農會,,墩北里,臺中市后里區墩北里民生路268號,"24.306913 ","120.712314 ",,1836.0,,
臺中大甲分局,外埔郵局,,大同里,臺中市外埔區大同里甲后路333號,"24.336207 ","120.648499 ",,114.0,,
臺中大甲分局,外埔國小,,大同里,臺中市外埔區大同里甲后路440號,"24.330290 ","120.655236 ",,229.0,,
臺中大甲分局,外埔衛生所,,大同里,臺中市外埔區大同里甲后路444號,"24.330290 ","120.655236 ",,96.0,,
臺中大甲分局,外埔農會,,大同里,臺中市外埔區大同里甲后路368號,"24.330290 ","120.655236 ",,280.0,,
臺中大甲分局,外埔國中,,大同里,臺中市外埔區大同里甲后路505號,"24.332479 ","120.649962 ",,693.0,,
臺中大甲分局,外埔區圖書館,,大同里,臺中市外埔區大同里甲后路三段1060號,"24.332986 ","120.652269 ",,122.0,,
臺中大甲分局,大安郵局,,中庄里,臺中市大安區中庄里中山南路343號,"24.346412 ","120.586027 ",,182.0,,
臺中大甲分局,大甲區農會,,朝陽里,臺中市大甲區朝陽里文武路10號,"24.345712 ","120.626440 ",,262.0,,
臺中大甲分局,大甲郵局,,朝陽里,臺中市大甲區朝陽里新政路1號,"24.347584 ","120.627291 ",,345.0,,
臺中大甲分局,中華電信公司,,順天里,臺中市大甲區順天里順天路159號,"24.345170 ","120.622330 ",,189.0,,
臺中大甲分局,文武里活動中心,,文武里,臺中市大甲區文武里德興路61號,"24.349826 ","120.625425 ",,45.0,,
臺中大甲分局,中山里活動中心,,中山里,臺中市大甲區中山里水源路192號,"24.339939 ","120.626658 ",,45.0,,
臺中大甲分局,中山里活動中心,,中山里,臺中市大甲區中山里水源路190號,"24.339884 ","120.626204 ",,269.0,,
臺中大甲分局,台灣企銀,,大甲里,臺中市大甲區大甲里鎮政路14號,"24.344515 ","120.624944 ",,260.0,,
臺中大甲分局,文昌國小,,孔門里,臺中市大甲區孔門里育德路113號,"24.348088 ","120.624182 ",,4248.0,,
臺中大甲分局,大甲高工,,頂店里,臺中市大甲區頂店里開元路71號,"24.349868 ","120.644456 ",,3734.0,,
臺中大甲分局,大甲高中,,南陽里,臺中市大甲區南陽里中山路一段720號,"24.342054 ","120.621632 ",,2521.0,,
臺中大甲分局,臺灣基督長老教會,,大甲里,臺中市大甲區大甲里鎮政路41號,"24.345815 ","120.625288 ",,453.0,,
臺中大甲分局,文武國小,,武陵里,臺中市大甲區武陵里文曲路61號,"24.336425 ","120.600562 ",,1010.0,,
臺中大甲分局,大甲變電所,,岷山里,臺中市大甲區岷山里中山路一段880號,"24.347901 ","120.627789 ",,30.0,,
臺中大甲分局,光田醫院,,新美里,臺中市大甲區新美里興安路7號3,"24.347090 ","120.616604 ",,455.0,,
