foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
署屬機關,政府機關,B-3,訊塘里,新北市八里區訊塘里6鄰商港路120號,25.15111473,121.3919806,地下1層,165.0,基隆港務警察總隊臺北中隊,
署屬機關,政府機關,B-4,訊塘里,新北市八里區訊塘里6鄰商港路122號,25.15163787,121.3916939,地下1層,86.0,基隆港務警察總隊臺北中隊,
署屬機關,臺北港務分公司,C-2,訊塘里,新北市八里區訊塘里6鄰商港路123號,25.15110139,121.3907837,地下1層,175.0,基隆港務警察總隊臺北中隊,
署屬機關,一般建築,4,樹北里,新北市板橋區新民里001鄰縣民大道二段7號,25.01431,121.46363,3,2000.0,鐵路警察局臺北分局,板橋車站
署屬機關,一般建築,5,樹北里,新北市樹林區樹北里016鄰鎮前街112號,24.99167,121.42498,1,265.0,鐵路警察局臺北分局,樹林車站
署屬機關,一般建築,6,樹北里,新北市樹林區樹北里016鄰鎮前街86巷3號,24.99212,121.42508,1,230.0,鐵路警察局臺北分局,臺鐵員工宿舍
署屬機關,一般建築,7,東山里,新北市樹林區東山里012鄰東佳路7號,24.98027,121.40602,1,1162.0,鐵路警察局臺北分局,樹林調車站
三峽、樹林分局,三峽分局,D701000001,三峽里,新北市三峽區民權街38號,,,1.0,106.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000002,三峽里,新北市三峽區民權街40號,24.933652,121.369698,1.0,52.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000003,三峽里,新北市三峽區民權街109號,24.932478,121.369121,1.0,62.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000004,永館里,新北市三峽區中山路17號,24.934238,121.368864,1.0,575.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000005,永館里,新北市三峽區文化路6677號,24.935816,121.366384,1.0,107.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000006,永館里,新北市三峽區文化路72號,24.936231,121.372155,1.0,42.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000007,永館里,新北市三峽區文化路7478號,24.936477,121.371796,1.0,64.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000008,永館里,新北市三峽區文化路212號,24.936071,121.368616,1.0,138.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000009,永館里,新北市三峽區民生街1071號,24.9353,121.373804,1.0,354.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000010,永館里,新北市三峽區民生街229號,24.934734,121.371177,1.0,366.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000011,永館里,新北市三峽區忠孝街6號,24.934527,121.37069,1.0,478.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000012,永館里,新北市三峽區文化路59號,24.935912,121.372278,1.0,1381.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000013,永館里,新北市三峽區中山路2834號,24.934147,121.369094,1.0,324.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000014,永館里,新北市三峽區中山路6668號,24.934311,121.367182,1.0,111.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000015,永館里,新北市三峽區文化路71號,24.936032,121.37182,1.0,262.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000016,永館里,新北市三峽區文化路93號,24.936069,121.371214,1.0,423.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000017,永館里,新北市三峽區文化路8號,24.935652,121.373391,1.0,481.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000018,永館里,新北市三峽區和平街23號,24.935191,121.370278,1.0,20.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000019,永館里,新北市三峽區和平街26號1,24.936747,121.370289,1.0,73.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000020,永館里,新北市三峽區和平街6773號,24.936419,121.369829,1.0,138.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000021,永館里,新北市三峽區和平街31號,24.935406,121.370269,1.0,179.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000022,永館里,新北市三峽區民權街1416號,24.931905,121.368823,1.0,138.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000023,永館里,新北市三峽區文化路65巷8號,24.935736,121.372009,1.0,481.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000024,鳶山里,新北市三峽區大勇路34號,24.937285,121.366986,1.0,67.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000025,鳶山里,新北市三峽區大勇路38號,24.937142,121.367014,1.0,67.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000026,鳶山里,新北市三峽區大仁路2號,24.937719,121.36683,1.0,1001.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000027,鳶山里,新北市三峽區大仁路3032號,24.937764,121.365865,1.0,237.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000028,鳶山里,新北市三峽區中山路277巷1327號,24.936613,121.361833,1.0,632.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000029,鳶山里,新北市三峽區中山路257巷23號,24.936334,121.362483,1.0,811.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000030,鳶山里,新北市三峽區中山路219巷1357號9,24.936231,121.363505,1.0,381.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000031,鳶山里,新北市三峽區中山路219巷911號,24.936215,121.36262,1.0,131.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000032,鳶山里,新北市三峽區中山路233號,24.937088,121.362827,1.0,77.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000033,鳶山里,新北市三峽區中山路171號,24.936461,121.364166,1.0,1339.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000034,鳶山里,新北市三峽區中山路128號13,24.936212,121.366004,1.0,120.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000035,鳶山里,新北市三峽區中山路127號,24.935926,121.365361,2.0,491.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000036,八張里,新北市三峽區清水街368號,24.93142,121.369815,1.0,144.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000037,八張里,新北市三峽區清水街431號,24.92578,121.368545,1.0,61.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000038,中埔里,新北市三峽區大同路270號,24.925627,121.365128,1.0,1996.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000039,中埔里,新北市三峽區大同路272號,24.925368,121.365326,1.0,420.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000040,中埔里,新北市三峽區大同路287號,24.925067,121.365421,1.0,201.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000041,中埔里,新北市三峽區大同路287號,24.925067,121.365421,1.0,201.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000042,中埔里,新北市三峽區大同路240巷1號,24.925785,121.365896,1.0,1194.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000043,中埔里,新北市三峽區中園街64號2,24.925557,121.367895,1.0,803.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000044,中埔里,新北市三峽區大同路240巷45弄6號,24.926297,121.365363,1.0,1717.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000045,中埔里,新北市三峽區中園街81號,24.925105,121.367993,1.0,138.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000047,龍埔里,新北市三峽區民生街21號,24.936535,121.376148,3.0,484.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000048,龍埔里,新北市三峽區民生街29號,24.936345,121.375811,3.0,2368.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000049,龍埔里,新北市三峽區國光街25之27號,24.93967,121.37136,1.0,128.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000050,龍埔里,新北市三峽區國光街33之35號,24.939977,121.370983,1.0,813.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000051,龍埔里,新北市三峽區國光街53之61號,24.938184,121.374455,1.0,772.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000052,龍埔里,新北市三峽區國光街69之71號,24.937607,121.373933,1.0,55.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000053,龍埔里,新北市三峽區國光街18巷122號,24.937319,121.375652,1.0,966.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000054,龍埔里,新北市三峽區國光街12巷210號,24.937265,121.376052,1.0,386.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000055,龍埔里,新北市三峽區國光街24巷134號,24.940287,121.371331,1.0,698.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000056,龍埔里,新北市三峽區國光街81巷13號,24.938007,121.373562,1.0,515.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000057,龍埔里,新北市三峽區復興路38號,24.936874,121.373826,3.0,1774.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000058,介壽里,新北市三峽區永安街13號,24.930073,121.377548,1.0,136.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000059,介壽里,新北市三峽區永安街9巷3號23,24.929741,121.377211,1.0,491.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000060,介壽里,新北市三峽區永安街9巷3號89,24.929789,121.377762,1.0,135.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000061,介壽里,新北市三峽區永安街9巷6號,24.929822,121.37736,1.0,80.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000062,介壽里,新北市三峽區永安街2135號,24.928534,121.374406,1.0,147.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000063,介壽里,新北市三峽區永安街9巷3638號,24.929666,121.377112,1.0,118.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000064,介壽里,新北市三峽區永安街37號,24.930346,121.376556,1.0,103.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000065,介壽里,新北市三峽區永安街9巷40號,24.929884,121.376377,1.0,65.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000066,介壽里,新北市三峽區永安街46號,24.930568,121.37674,1.0,306.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000067,介壽里,新北市三峽區永安街51號,24.929976,121.376068,1.0,40.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000068,介壽里,新北市三峽區永安街5355號,24.928402,121.374686,1.0,95.0,鐵路警察局臺北分局,
三峽、樹林分局,三峽分局,D701000069,介壽里,新北市三峽區永安街5763號,24.928446,121.374743,1.0,92.0,鐵路警察局臺北分局,
