foldername,placename,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
署屬機關,地下室,C1,科園里,新竹科學園區新安路3-1號,24.7807,121.0041,1.0,123.0,保二三大一中,竹科
署屬機關,地下室,C2,科園里,新竹科學園區新安路3號,24.78069,121.00413,1.0,136.0,保二三大一中,竹科
署屬機關,地下室,C3,科園里,新竹科學園區新安路2號,24.78244,121.00602,1.0,562.0,保二三大一中,竹科
署屬機關,地下室,C4,科園里,新竹科學園區新安路2-1號,24.78241,121.00603,1.0,1522.0,保二三大一中,竹科
署屬機關,地下室,C5,科園里,新竹科學園區工業東二路2-1號,24.78023,121.00474,1.0,151.0,保二三大一中,竹科
署屬機關,地下室,C6,科園里,新竹科學園區園區一路8號,24.77539,121.01519,1.0,2914.0,保二三大一中,竹科
署屬機關,地下室,C24,雙溪村,新竹科學園區工業東十路18號,24.77486,121.00568,1.0,108.0,保二三大一中,竹科
署屬機關,地下室,C28,雙溪村,新竹科學園區創新二路2號,24.7805,120.99502,1.0,1489.0,保二三大一中,竹科
署屬機關,地下室,C48,雙溪村,新竹科學園區研新一路2號,24.77724,120.98695,1.0,2292.0,保二三大一中,竹科
署屬機關,地下室,C49,雙溪村,新竹科學園區研新一路2號,24.77724,120.98695,1.0,2417.0,保二三大一中,竹科
新竹市警察局第一分局,公寓,FMA00001,崇禮里,新竹市北區崇禮里12鄰集和街5號,24.77724,120.98695,1.0,2417.0,第一分局,
新竹市警察局第一分局,竹嘉建嘉補習班,FMA00002,崇禮里,新竹市北區崇禮里10鄰中山路306號,24.77724,120.98695,1.0,2417.0,第一分局,
新竹市警察局第一分局,公寓,FMA00003,崇禮里,新竹市北區崇禮里10鄰中山路308號,24.77724,120.98695,1.0,2417.0,第一分局,
新竹市警察局第一分局,公寓,FMA00005,崇禮里,新竹市北區崇禮里11鄰集賢街30號,24.77724,120.98695,1.0,2417.0,第一分局,
新竹市警察局第一分局,民宅,FMA00006,崇禮里,新竹市北區崇禮里10鄰中山路312巷2號,24.77724,120.98695,1.0,2417.0,第一分局,
新竹市警察局第一分局,公寓,FMA00007,崇禮里,新竹市北區崇禮里3鄰集賢街74號,24.77724,120.98695,1.0,2417.0,第一分局,
新竹市警察局第一分局,公寓,FMA00008,崇禮里,新竹市北區崇禮里10鄰中山路304號,24.77724,120.98695,1.0,2417.0,第一分局,
